City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
509,Saint-Georges,GD,12.0564,-61.7485,85.68,70,40,23.02,scattered clouds
510,Abu Kamal,SY,34.4506,40.9171,83.62,24,1,19.33,clear sky
511,Talnakh,RU,69.4865,88.3972,34.21,97,100,1.99,overcast clouds
512,Wattegama,LK,6.7989,81.4808,78.51,77,75,7.58,broken clouds
513,Burlington,US,39.8835,-74.6413,73.89,58,0,10.36,clear sky
514,Voh,NC,-20.9667,164.7,69.53,90,92,6.08,overcast clouds
515,San Cristobal,VE,7.7669,-72.225,77.18,48,16,7.0,few clouds
516,Dauphin,CA,51.1494,-100.0502,62.74,31,0,12.66,clear sky
517,Vao,NC,-22.6667,167.4833,72.43,79,100,21.65,overcast clouds
518,Manado,ID,1.487,124.8455,75.97,100,40,1.14,scattered clouds
519,Kendari,ID,-3.945,122.4989,75.67,93,88,1.43,overcast clouds
520,Tari,NG,12.4086,4.4914,88.36,32,100,10.54,overcast clouds
521,Arlit,NE,18.7369,7.3853,102.85,9,100,4.36,overcast clouds
522,Kalabo,ZM,-14.97,22.6814,65.7,33,3,4.9,clear sky
523,Osypenko,UA,46.9136,36.8253,58.35,64,88,4.32,overcast clouds
524,Sur,OM,22.5667,59.5289,90.84,54,0,1.63,clear sky
525,Kondoa,TZ,-4.9,35.7833,71.56,34,30,4.14,scattered clouds
526,Kimbe,PG,-5.5502,150.1429,75.87,92,44,3.47,scattered clouds
527,Usilampatti,IN,9.9667,77.8,88.75,62,99,3.6,overcast clouds
528,Cedar City,US,37.6775,-113.0619,47.39,43,100,9.22,overcast clouds
529,Honiara,SB,-9.4333,159.95,77.45,87,76,4.52,broken clouds
530,Uinskoye,RU,56.8817,56.5813,44.4,83,97,2.19,overcast clouds
531,Polonnaruwa,LK,7.9333,81.0,82.15,67,65,11.92,broken clouds
532,Atbasar,KZ,51.8,68.3333,61.3,53,80,10.92,broken clouds
533,Beringovskiy,RU,63.05,179.3167,36.25,82,100,2.77,overcast clouds
534,Bay Roberts,CA,47.5999,-53.2648,74.95,48,2,5.99,clear sky
535,Burnie,AU,-41.0667,145.9167,47.95,81,17,5.59,few clouds
536,Ziway,ET,7.9333,38.7167,80.11,22,60,12.37,broken clouds
537,Cordoba,AR,-31.4135,-64.1811,72.45,35,0,5.75,clear sky
538,Xai-Xai,MZ,-25.0519,33.6442,60.73,97,87,5.64,light rain
539,Sandur,IN,15.1,76.55,82.44,63,63,20.04,broken clouds
540,West Bay,KY,19.3667,-81.4167,86.07,78,20,9.22,haze
541,Dukat,RU,62.55,155.55,31.28,99,100,7.2,overcast clouds
542,Aktau,KZ,43.65,51.2,73.98,38,100,6.71,overcast clouds
543,Jinchang,CN,38.4953,102.1739,71.71,20,97,9.78,overcast clouds
544,Lysa Hora,UA,48.1706,31.1099,59.05,67,98,5.59,light rain
545,Nueva Guinea,NI,11.6876,-84.4562,81.93,74,75,11.3,broken clouds
546,San Nicolas,PH,18.1725,120.5953,76.91,94,100,2.3,overcast clouds
547,Makinsk,KZ,52.6292,70.4169,58.03,60,100,9.15,overcast clouds
548,Great Bend,US,38.3645,-98.7648,58.03,52,75,14.97,broken clouds
549,Valparaiso,CL,-33.0393,-71.6273,66.43,61,0,5.75,clear sky
550,Sao Geraldo Do Araguaia,BR,-6.4006,-48.555,84.67,67,3,4.72,clear sky
551,Yakeshi,CN,49.2833,120.7333,45.03,64,72,5.57,broken clouds
552,Datong,CN,40.0936,113.2914,65.7,49,85,1.5,overcast clouds
553,Mitsamiouli,KM,-11.3847,43.2844,79.84,75,48,1.5,scattered clouds
554,Kununurra,AU,-15.7667,128.7333,64.38,77,16,1.14,few clouds
555,Sabha,LY,27.0377,14.4283,96.44,6,50,10.18,scattered clouds
556,Manacapuru,BR,-3.2997,-60.6206,86.49,60,10,1.57,clear sky
557,Chicama,PE,-7.8447,-79.1469,61.34,66,34,8.81,scattered clouds
558,Mahajanga,MG,-15.7167,46.3167,80.62,74,20,3.44,few clouds
559,Macamic,CA,48.7502,-78.9996,52.52,45,21,5.82,few clouds
560,Natalinsk,RU,56.4739,57.8698,45.82,86,100,2.66,overcast clouds
561,Komadi,HU,47.0,21.5,70.36,58,100,6.49,overcast clouds
562,Ambilobe,MG,-13.2,49.05,76.55,72,92,1.95,overcast clouds
563,Winslow,US,35.0242,-110.6974,69.98,19,0,0.0,clear sky
564,Marshall,US,34.3834,-86.3333,71.65,88,75,8.05,light rain
565,Guatire,VE,10.4762,-66.5427,85.69,54,100,4.05,overcast clouds
566,Juneau,US,58.3019,-134.4197,49.21,92,100,13.8,light rain
567,Sanmenxia,CN,34.7747,111.1814,71.42,51,46,5.86,scattered clouds
568,Mafinga,TZ,-7.25,35.0667,76.84,29,18,2.82,few clouds
569,Kalemie,CD,-5.9475,29.1947,74.62,74,100,2.59,overcast clouds
570,Borisoglebskiy,RU,57.2586,39.1508,43.23,53,100,8.79,overcast clouds
571,Liberia,LR,6.5,-9.5,75.61,95,98,3.51,moderate rain
572,Santa Isabel,BR,-23.3156,-46.2214,68.76,42,75,2.51,broken clouds
573,Praia,CV,14.9215,-23.5087,75.74,64,40,6.91,scattered clouds
574,Key Largo,US,25.0865,-80.4473,86.0,68,11,18.01,few clouds
575,Khandyga,RU,62.6667,135.6,41.0,84,82,5.61,broken clouds
576,Homer,US,59.6425,-151.5483,48.09,75,100,4.0,overcast clouds
577,Schroeder,BR,-26.4125,-49.0731,72.77,61,100,1.16,overcast clouds
578,Balangir,IN,20.7167,83.4833,95.41,21,70,4.12,broken clouds
579,Santa Cruz De Tenerife,ES,28.4682,-16.2546,73.0,78,75,20.71,broken clouds
580,Victoria Point,AU,-27.5833,153.3,63.16,97,100,3.0,overcast clouds
581,Belokurikha,RU,51.9959,84.9896,51.35,69,87,4.7,overcast clouds
582,Alekseyevsk,RU,57.8406,108.3492,49.33,74,19,2.06,few clouds
583,Salvador,SV,13.8333,-88.9167,76.05,74,100,2.82,overcast clouds
584,Fort Morgan,US,40.2503,-103.8,50.65,53,100,14.97,overcast clouds
585,Barranca,PE,-10.75,-77.7667,67.57,72,49,9.86,scattered clouds
586,Tapejara,BR,-28.0681,-52.0139,64.78,64,5,5.86,clear sky
587,Ferkessedougou,CI,9.6,-5.2,87.01,48,82,6.26,broken clouds
588,Teluknaga,ID,-6.0989,106.6381,83.17,83,20,5.99,few clouds
589,Yei,SS,4.095,30.6779,69.82,93,93,4.56,moderate rain
590,Synya,RU,65.3718,58.0387,38.82,91,100,4.05,overcast clouds
591,Dunedin,NZ,-45.8742,170.5036,53.8,55,12,5.99,few clouds
592,Bonavista,CA,48.6499,-53.1147,56.75,70,19,21.92,few clouds
593,Ladario,BR,-19.0047,-57.6017,84.49,42,0,8.05,clear sky
594,San Juan,AR,-31.5375,-68.5364,61.63,34,70,14.7,broken clouds
595,Neenah,US,44.1858,-88.4626,57.45,45,40,4.61,scattered clouds
596,Tadine,NC,-21.55,167.8833,72.93,84,95,14.85,overcast clouds
597,Nabire,ID,-3.3667,135.4833,76.06,92,67,3.02,light rain
598,Villa Maria,AR,-32.4075,-63.2402,63.82,62,58,11.97,broken clouds
599,Gushikawa,JP,26.3544,127.8686,69.8,95,100,23.02,moderate rain
600,Atasu,KZ,48.6814,71.6433,59.09,26,13,4.94,few clouds
601,Goderich,CA,43.7501,-81.7165,46.72,76,100,12.66,overcast clouds
602,Miramar,US,25.9873,-80.2323,88.02,69,75,18.41,broken clouds
603,Pusad,IN,19.9,77.5833,97.32,23,0,4.94,clear sky
604,Mount Gambier,AU,-37.8333,140.7667,49.1,86,5,5.95,clear sky
605,Ornskoldsvik,SE,63.2909,18.7153,58.15,51,38,12.66,scattered clouds
606,Destin,US,30.3935,-86.4958,78.03,92,75,0.0,moderate rain
607,Kwinana,AU,-32.25,115.7667,64.92,82,100,11.99,overcast clouds
608,Keti Bandar,PK,24.1447,67.4497,83.61,84,0,22.46,clear sky
609,Hay River,CA,60.8156,-115.7999,37.38,75,40,8.05,scattered clouds
610,Puerto Concordia,CO,2.6221,-72.7572,79.93,85,24,4.25,few clouds
611,Padang,ID,-0.9492,100.3543,78.64,87,40,3.96,scattered clouds
612,Iquique,CL,-20.2208,-70.1431,60.84,67,6,6.35,clear sky
613,Bilibino,RU,68.0546,166.4372,42.44,70,69,2.46,broken clouds
614,Pontian Kecil,MY,1.4801,103.3899,77.32,88,96,6.33,overcast clouds
615,Matara,LK,5.9485,80.5353,78.12,91,100,9.55,overcast clouds
616,Nambour,AU,-26.6333,152.95,64.11,99,100,1.99,light rain
617,Boa Vista,BR,2.8197,-60.6733,84.18,74,75,6.91,broken clouds
618,Bandarbeyla,SO,9.4942,50.8122,81.21,83,68,29.55,broken clouds
619,Tamandare,BR,-8.7597,-35.1047,80.1,79,30,15.26,scattered clouds
620,Karacakoy,TR,41.4029,28.3834,71.44,78,6,8.14,clear sky
621,Buraydah,SA,26.326,43.975,97.25,11,25,18.54,scattered clouds
622,Tocopilla,CL,-22.092,-70.1979,67.26,69,13,5.19,few clouds
623,Richards Bay,ZA,-28.783,32.0377,65.89,82,89,9.82,overcast clouds
624,Bosaso,SO,11.2842,49.1816,87.78,57,71,1.45,broken clouds
625,Puurmani,EE,58.5738,26.2878,66.42,45,75,5.77,broken clouds
626,Prosperous,IE,53.2903,-6.7539,60.06,81,92,11.45,overcast clouds
