City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
508,Itarema,BR,82.85,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
509,Saint-Georges,GD,85.68,scattered clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
510,Abu Kamal,SY,83.62,clear sky,34.4506,40.9171,البوكمال
513,Burlington,US,73.89,clear sky,39.8835,-74.6413,Delanco Camp
515,San Cristobal,VE,77.18,few clouds,7.7669,-72.225,Pirineos
517,Vao,NC,72.43,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
518,Manado,ID,75.97,scattered clouds,1.487,124.8455,Aryaduta Hotel
519,Kendari,ID,75.67,overcast clouds,-3.945,122.4989,Hotel Wixel
525,Kondoa,TZ,71.56,scattered clouds,-4.9,35.7833,Bab Al Shams Inland Lodge
526,Kimbe,PG,75.87,scattered clouds,-5.5502,150.1429,Kimbe Bay Hotel
527,Usilampatti,IN,88.75,overcast clouds,9.9667,77.8,Prs residency lodge
529,Honiara,SB,77.45,broken clouds,-9.4333,159.95,Heritage Park Hotel
531,Polonnaruwa,LK,82.15,broken clouds,7.9333,81.0,Thisara Guest House
534,Bay Roberts,CA,74.95,clear sky,47.5999,-53.2648,Stonewall Inn
536,Ziway,ET,80.11,broken clouds,7.9333,38.7167,Haile Resort Ziway Batu
537,Cordoba,AR,72.45,clear sky,-31.4135,-64.1811,Hotel Sussex
539,Sandur,IN,82.44,broken clouds,15.1,76.55,"WelcomHeritage Shivavilas Palace Hotel, Hampi"
540,West Bay,KY,86.07,haze,19.3667,-81.4167,Calypso Cove
542,Aktau,KZ,73.98,overcast clouds,43.65,51.2,Silk Way Hotel
543,Jinchang,CN,71.71,overcast clouds,38.4953,102.1739,Mingshihui Jinchang International Hotel
545,Nueva Guinea,NI,81.93,broken clouds,11.6876,-84.4562,Posadita La Reyna
546,San Nicolas,PH,76.91,overcast clouds,18.1725,120.5953,NORTHVIEW Hotel
550,Sao Geraldo Do Araguaia,BR,84.67,clear sky,-6.4006,-48.555,Hotel Por do Sol
553,Mitsamiouli,KM,79.84,scattered clouds,-11.3847,43.2844,Foyer ADM
556,Manacapuru,BR,86.49,clear sky,-3.2997,-60.6206,Novo Hotel
558,Mahajanga,MG,80.62,few clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
561,Komadi,HU,70.36,overcast clouds,47.0,21.5,GR Vadász Panzió
562,Ambilobe,MG,76.55,overcast clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
564,Marshall,US,71.65,light rain,34.3834,-86.3333,Riverview Campground
565,Guatire,VE,85.69,overcast clouds,10.4762,-66.5427,Parque Residencial Canaima I
567,Sanmenxia,CN,71.42,scattered clouds,34.7747,111.1814,Pengzhou Hotel
